# name|url
deepwiki|https://mcp.deepwiki.com/mcp
deepwiki-sse|https://mcp.deepwiki.com/sse
huggingface|https://hf.co/mcp
linear-sse|https://mcp.linear.app/sse
linear-mcp|https://mcp.linear.app/mcp
notion|https://mcp.notion.com/mcp
sentry|https://mcp.sentry.dev/mcp
atlassian-sse|https://mcp.atlassian.com/v1/sse
github|https://api.githubcopilot.com/mcp/
stripe|https://mcp.stripe.com
cloudflare-docs|https://docs.mcp.cloudflare.com/sse
cloudflare-bindings|https://bindings.mcp.cloudflare.com/sse
cloudflare-observability|https://observability.mcp.cloudflare.com/sse
cloudflare-radar|https://radar.mcp.cloudflare.com/sse
asana|https://mcp.asana.com/sse
globalping|https://mcp.globalping.dev/sse
grafana|https://mcp.grafana.com/mcp
webflow|https://mcp.webflow.com/sse
wix|https://mcp.wix.com/sse
paypal|https://mcp.paypal.com/sse
square|https://mcp.squareup.com/sse
intercom|https://mcp.intercom.com/sse
neon|https://mcp.neon.tech/sse
neon-mcp|https://mcp.neon.tech/mcp
prisma|https://mcp.prisma.io/mcp
vercel|https://mcp.vercel.com
zapier|https://mcp.zapier.com/api/mcp/mcp
context7|https://mcp.context7.com/mcp
context7-sse|https://mcp.context7.com/sse
cloudflare-bbrowser|https://browser.mcp.cloudflare.com/sse
sentry-sse|https://mcp.sentry.dev/sse
hf-sse|https://hf.co/mcp/sse
fetch-mcp|https://remote.mcpservers.org/fetch/mcp
sequentialthinking|https://remote.mcpservers.org/sequentialthinking/mcp
edgeone|https://mcp-on-edge.edgeone.app/mcp-server
semgrep|https://mcp.semgrep.ai/sse
# --- batch 2 (added 2026-06-20) ---
h-index|https://h-index.xr-utilities.ai/mcp
library|https://childpsychiatry.ai/api/mcp/v1
getperspective|https://getperspective.ai/mcp
atars-mcp|https://mcp.aarna.ai/mcp
dock|https://trydock.ai/api/mcp
stompy|https://mcp.stompy.ai
ca-rate-filings|https://api.serff.ai/mcp
company-search|https://trycanonical.ai/mcp
krtr|https://www.krtr.ai/api/mcp
library-2|https://teenadhd.ai/api/mcp/v1
mcp-mailjunky|https://mcp.mailjunky.ai/sse
crane-ledger|https://api.craneledger.ai/mcp
web-agent|https://agent.tinyfish.ai/mcp
hostprofit-mcp-production-up-railway-app|https://hostprofit-mcp-production.up.railway.app/mcp
just-publish|https://mcp.justpublish.ai/
directory|https://directory.boolsai.ai/mcp
gondola|https://mcp.gondola.ai/mcp
mcp-server|https://mcp-server.walterwrites.ai/mcp
buron|https://app.buron.ai/api/mcp
mcp-server-2|https://tensorfeed.ai/api/mcp
catalog-api|https://mcp.buywhere.ai/mcp
qr-manager|https://qr-manager.ai/api/mcp
weftly|https://api.weftly.ai/mcp
docs|https://auteng.ai/mcp/docs
mcp-fiber|https://mcp.fiber.ai/mcp/v2/
scry|https://mcp.tunnelmind.ai/mcp
figlime|https://figlime.rise2.ai/mcp
quantifyme|https://mcp.quantifyme.ai/mcp
xmp4|https://mcp.example4.ai/mcp
shopify-admin-mcp|https://mcp.gossiper.io/mcp
salesforce-mcp|https://mcp.cirra.ai/sfdc/mcp
hi|https://mcp.hirey.ai/mcp
api-openmandate|https://api.openmandate.ai/mcp
mcp-explorium|https://mcp-github-registry.explorium.ai/sse
travel|https://mcp.autonomad.ai/mcp
document-processing|https://api.filegraph.ai/mcp
mcp-gavelin|https://mcp.gavelin.ai/mcp
strata|https://strata.klavis.ai/mcp/
nullary|https://mcp.nullary.ai/mcp
lawyer-search|https://mcp.law.ai
bowmark|https://api.bowmark.ai/mcp
connect|https://mcp.raisonn.ai/mcp
anzenna|https://mcp.anzenna.ai/sse
financial-data|https://mcp.rockmoon.ai/mcp
google-trends|https://google-trends.api.trendsmcp.ai/mcp
mcp-server-3|https://mcp.tensorfeed.ai/mcp
library-3|https://teenanxiety.ai/api/mcp/v1
robomart|https://mcp.robomart.ai/mcp
code|https://mcp.paperlantern.ai/chat/mcp
notes|https://nebula.cosmonote.ai/mcp
filtrix-ai|https://mcp.filtrix.ai/
switch|https://mcp.switchapp.ai/mcp
